Date,Title,URL,Body ,Location,Likes,Comment,Username
7/14/2023,Mostafa Atef Barsholawat Bersama Santri Pondok ... - TikTok,https://www.tiktok.com/@dalwatv/video/7254882957423299845,"3.7K Likes, TikTok video from dalwatv (@dalwatv): ""Mostafa Atef Barsholawat Bersama Santri Pondok Pesantren Darullughah Wadda'wah Yuk saling",Pasuruan,3948,18,@dalwatv
7/3/2023,"RICUH USAI PEMERIKSAAN PANJI GUMILANG, Pimpinan ...",https://www.tiktok.com/@bpostonline/video/7251947034750618882,"TikTok video from Banjarmasin Post (@bpostonline): ""RICUH USAI PEMERIKSAAN PANJI GUMILANG, Pimpinan Pondok Pesantren Al Zaytun:",Banjarmasin,0,0,@bpostonline
7/22/2023,pondok pesantren Al Istiqlaliyyah cilongok pasar ... - TikTok,https://www.tiktok.com/@uusq02/video/7200758965263813914,"115 Likes, TikTok video from @wadon_salafy04 (@uusq02): ""pondok pesantren Al Istiqlaliyyah cilongok pasar Kemis #alistiqlaliyahcilongok",Tangerang,115,2,@uusq02
7/20/2023,Ldr jaya jaya jaya #fyp #santri #pondok #pesantren - TikTok,https://www.tiktok.com/@heldadorezzz/video/7224068085639089435,"8.5K Likes, 189 Comments. TikTok video from Helda Doress (@heldadorezzz): ""Ldr jaya jaya jaya #fyp #santri #pondok #pesantren"".",Tasikmalaya,8500,189,@heldadorezzz
5/11/2022,Pondok Pesantren Moderen Man Ana.Kampung ... - TikTok,https://www.tiktok.com/@komunitasmanana/video/7096390018737999131,"125 Likes, TikTok video from pesantren-manana (@komunitasmanana): ""Pondok Pesantren Moderen Man Ana.Kampung Susukan Desa Gunung",Bogor,126,0,@komunitasmanana
7/2/2023,beberapa larangan di mahad uin malang #uinmalang ... - TikTok,https://www.tiktok.com/@apakabbss/video/7251224071428476166,"3.7K Likes, 158 Comments. TikTok video from sohib uin (@apakabbss): ""beberapa larangan di mahad uin malang #uinmalang #uin #kampusuin",Malang,3700,158,@apakabbss
7/24/2023,Menko Polhukam Mahfud MD sampaikan berbagai ... - TikTok,https://www.tiktok.com/@kompastvnews/video/7256278443627793682,"43 Likes, TikTok video from Kompas TV (@kompastvnews): ""Menko Polhukam Mahfud MD sampaikan berbagai pernyataan tentang pimpinan",Jakarta,43,0,@kompastvnews
7/23/2023,Pengen jadi anak pesantren #rudisusanto - TikTok,https://www.tiktok.com/@rudisusanto__/video/7258851897967185158,"24 Likes, TikTok video from Rudisusanto (@rudisusanto__): ""Pengen jadi anak pesantren #rudisusanto"". suara asli - Taufiq .",,24,2,@rudisusanto__
7/12/2023,Sebuah sefruit #santri #pesantren #mondok ... - TikTok,https://www.tiktok.com/@kangfaldo/video/7254879672964500741,"18.6K Likes, 109 Comments. TikTok video from Kang faldo (@kangfaldo): ""Sebuah sefruit #santri #pesantren #mondok #kangfaldo #santriindonesia",,18600,109,@kangfaldo
7/1/2023,Versi vokalis nih #santri #pesantren #mondok ... - TikTok,https://www.tiktok.com/@kangfaldo/video/7250797631562075397,"12.4K Likes, 62 Comments. TikTok video from Kang faldo (@kangfaldo): ""Versi vokalis nih #santri #pesantren #mondok #kangfaldo #santriteladan",,12400,62,@kangfaldo
7/9/2023,Gue yg terakhir #santri #pesantren #mondok ... - TikTok,https://www.tiktok.com/@kangfaldo/video/7253768271797832966,"10.5K Likes, 61 Comments. TikTok video from Kang faldo (@kangfaldo): ""Gue yg terakhir #santri #pesantren #mondok #kangfaldo #santriindonesia",,10500,61,@kangfaldo
7/14/2023,"Pimpinan Pondok Pesantren Al Zaytun, Panji Gumilang ...",https://www.tiktok.com/@tvonenews/video/7255676012627840264,"TikTok video from tvOneNews (@tvonenews): ""Pimpinan Pondok Pesantren Al Zaytun, Panji Gumilang melayangkan gugatan pada Wakil Ketua Umum",Jakarta,6,1,@tvonenews
7/22/2023,PONDOK PESANTREN. AL-FUTUHAT - TikTok,https://www.tiktok.com/@rms24056/video/7258147312797732101,"28 Likes, TikTok video from A Sobari (@rms24056): ""PONDOK PESANTREN. AL-FUTUHAT"". suara asli - A Sobari.",Garut,28,3,@rms24056
7/20/2023,"Guru Besar UIN dukung Panji Gumilang, pemimpin ... - TikTok",https://www.tiktok.com/@nwstdy_/video/7258311028344098053,"TikTok video from NewsToday (@nwstdy_): ""Guru Besar UIN dukung Panji Gumilang, pemimpin Pondok Pesantren Alzaytun #alzaytun",Jakarta,11,0,@nwstdy_
7/13/2023,Masukin pesantren aja kali yah #fyp #foryoupage ... - TikTok,https://www.tiktok.com/@eyongemez/video/7255276486406491398,"2K Likes, 20 Comments. TikTok video from The Leon King (@eyongemez): ""Masukin pesantren aja kali yah #fyp #foryoupage #eyonsayangku",Jakarta,2000,20,@eyongemez
6/27/2023,Pesantren keliling | TikTok,https://www.tiktok.com/@rianbiber/video/7249299846799117573,"TikTok video from Nama bapak gue Zul Bahri (@rianbiber): ""Pesantren ... oh iya lupa. dek pesantren keliling dek wih. mau dong bang. nama",Jakarta,54500,4468,@rianbiber
6/27/2023,"Setelah menuai polemik panjang, kisruh Pondok Pesantren Al ...",https://www.tiktok.com/@cnnindonesia/video/72492041144694,"79 Likes, TikTok video from CNN Indonesia (@cnnindonesia): ""Setelah menuai polemik panjang, kisruh Pondok Pesantren Al Zaytun belum juga",Indramayu,79,0,@cnnindonesia
6/22/2023,Suasana di depan gerbang pondok Pesantren Al Zaytun di ...,https://www.tiktok.com/@cnnindonesia/video/7247340894695755010,"218 Likes, 20 Comments. TikTok video from CNN Indonesia (@cnnindonesia): ""Suasana di depan gerbang pondok Pesantren Al Zaytun",Indramayu,218,20,@cnnindonesia
6/21/2023,Usai unjuk rasa minta pembubarkan Pondok Pesantren Al ...,https://www.tiktok.com/@kompastvnews/video/7247076342813035777,"61 Likes, TikTok video from Kompas TV (@kompastvnews): ""Usai unjuk rasa minta pembubarkan Pondok Pesantren Al Zaytun di Indramayu, Pemerintah",Indramayu,61,11,@kompastvnews
6/19/2023,Pesantren bukan sembarang pesantren #alzaytun ... - TikTok,https://www.tiktok.com/@darisuara/video/7246427789123996933,"228.4K Likes, 7K Comments. TikTok video from Dari Suara (@darisuara): ""Pesantren bukan sembarang pesantren #alzaytun #pesantren #viral"".",Indramayu,228400,7000,@darisuara
6/18/2023,"Santri Al Zaytun, Banyak dari Luar Negeri Klaim Pesantren ...",https://www.tiktok.com/@tribunjabar.id/video/7245867706023644421,dikutip dari tribun jabar ID. pondok pesantren al zaitun merupakan lembaga pendidikan. Islam. yang didirikan oleh yayasan pesantren Indonesia atau.,Indramayu,92,11,@tribunjabar.id
6/28/2023,Pondok Pesantren Al Zaytun Indramayu Jawa Barat ... - TikTok,https://www.tiktok.com/@cnnindonesia/video/7249606220275862789,"170.7K Likes, 13.3K Comments. TikTok video from CNN Indonesia (@cnnindonesia): ""Pondok Pesantren Al Zaytun Indramayu Jawa Barat aka",Indramayu,170700,13300,@cnnindonesia
6/14/2023,Profil Pondok Pesantren Tahfizh dan Entrepreneur Thursina ...,https://www.tiktok.com/@ponpesthursina/video/7244341175405104385,pesantren tahfidz dan entrepreneur tursina. ybm pln adalah pesantren terindah di-dunia. karena dikelilingi indahnya pegunungan. dan perbukitan Nan asri. dan ...,,81,0,@ponpesthursina
6/4/2023,"Pimpinan Pondok Pesantren Al-Zaytun, Indramayu, Panji ...",https://www.tiktok.com/@inilahcom/video/7240809517351570690,"22 Likes, TikTok video from Inilah.com (@inilahcom): ""Pimpinan Pondok Pesantren Al-Zaytun, Indramayu, Panji Gumilang kini makin membuat heboh",Indramayu,22,2,@inilahcom
7/1/2023,"Pemimpin Yayasan dan Pondok Pesantren Al-Zaytun, Panji ...",https://www.tiktok.com/@cnnindonesia/video/7250688784679914757,"3.4K Likes, 331 Comments. TikTok video from CNN Indonesia (@cnnindonesia): ""Pemimpin Yayasan dan Pondok Pesantren Al-Zaytun,",Jakarta,3400,331,@cnnindonesia
6/22/2023,"MUI Panggil Panji Gumilang, Bila Mangkir Pesantren Al ...",https://www.tiktok.com/@wartakotalive.com/video/7247292564427083015,pimpinan pondok pesantren al zaitun. panji gumilang. akan dipanggil majelis ulama Indonesia atau mui. Jawa Barat dalam waktu dekat. pemanggilan ini,Jakarta,486,38,@wartakotalive.com
6/15/2023,"Sambut Pendemo, Pendukung Pesantren Al Zaytun ... - TikTok",https://www.tiktok.com/@wartakotalive.com/video/7244914261577747714,sambut pengunjuk rasa masa. pendukung pondok pesantren atau. ponpes al zaitun. nyanyikan lagu Yahudi hingga goyang dangdut. pada masa tandingan,Jakarta,1507,277,@wartakotalive.com
10/29/2022,Selamat atas terpilihnya Pondok Pesantren Langitan ... - TikTok,https://www.tiktok.com/@menaralangitan/video/7159948847135919387,"335 Likes, TikTok video from Menara Langitan (@menaralangitan): ""Selamat atas terpilihnya Pondok Pesantren Langitan dalam Penganugerahan 'Santri",Jakarta,335,0,@menaralangitan
6/22/2023,Deretan Kontroversi Pondok Pesantren Al-Zaytun ... - TikTok,https://www.tiktok.com/@alineadotid/video/7247436833397738757,"60 Likes, TikTok video from Alineadotid (@alineadotid): ""Deretan Kontroversi Pondok Pesantren Al-Zaytun yang dituding sebarkan 4j4r4n s3s4t.",Indramayu,60,4,@alineadotid
6/16/2023,Ratusan massa menggelar aksi di depan pondok pesantren ...,https://www.tiktok.com/@jpmtelevisi/video/7245262942818553089,di-pondok pesantren al zaitun indramayu. Jawa Barat pada kamis 15 Juni. mereka menuntut. mui dan kementerian agama. agar tegas terkait. dugaan,Indramayu,41,0,@jpmtelevisi
6/7/2023,"Dear, calon mahasiswa baru UIN Bandung, ada salam nih ...",https://www.tiktok.com/@uinsgd.official/video/7241907486658219270,"9.6K Likes, 304 Comments. TikTok video from UIN Sunan Gunung Djati Bandung (@uinsgd.official): ""Dear, calon mahasiswa baru UIN Bandung, ada",Bandung,9600,304,@uinsgd.official
6/29/2023,PANJI GUMILANG AL ZAYTUN mendapatkan dukungan dari ...,https://www.tiktok.com/@muhammadyuri36/video/7249995051827318021,"1.5K Likes, 215 Comments. TikTok video from Muhammad Yuri (@muhammadyuri36): ""PANJI GUMILANG AL ZAYTUN mendapatkan",Bogor,1500,215,@muhammadyuri36
6/22/2023,MUI dan NU tegas menyatakan ajaran ponpes Al-Zaytun ...,https://www.tiktok.com/@metro_tv/video/7247406837958577426,pesantren al zaitun menyimpang dari ajaran Islam. tidak hanya nahdlatul ulama. majelis ulama Indonesia. Kabupaten indramayu pun secara tegas,Indramayu,57700,2077,@metro_tv/
6/26/2023,Inilah beberapa pendapat masyarakat terkait Pondok ... - TikTok,https://www.tiktok.com/@republikaonline/video/7248931906803240197,"139 Likes, TikTok video from Republika (@republikaonline): ""Inilah beberapa pendapat masyarakat terkait Pondok Pesantren Al Zaytun #Alzaytun ...",Indramayu,139,15,@republikaonline
